book,ch_num,wc,rule_intensity,llm_intensity,llm_retention,glm_intensity,glm_retention,human_intensity,human_retention,pacing,immersion,emotion,tags,pros,cons,gap_reasons,confidence,time_spent,is_retest,timestamp
地球游戏场,1,4230,6.7,7,8,,,6,6.5,7.5,7,7,绝境;金手指;获得;伏笔,,,rule_miss;llm_bias_high,medium,460,false,2026-07-13T13:55:39.673Z
地球游戏场,198,3422,3.9,7,8,,,6,7.5,7,7.5,7.5,碾压;装逼;震惊;悬念,,,rule_miss;t2_bias_low,medium,168,false,2026-07-13T13:59:52.441Z
地球游戏场,561,3447,3,10,9,,,8.5,8.5,8,7.5,8.5,碾压;伏笔;震惊;战斗;情感;悬念,国家情感融入，爽点提升,,rule_miss,medium,133,false,2026-07-13T15:00:18.233Z
地球游戏场,749,3388,2,10,10,,,7.5,7.5,7.5,7.5,7,震惊;战斗;情感;悬念,,,rule_miss;llm_bias_high;t2_bias_low,medium,158,false,2026-07-13T14:05:15.819Z
末世大回炉,975,2186,3.9,10,10,,,9,9,9,9.5,9.5,打脸;逆袭;装逼;伏笔;智斗;反噬;震惊,,,rule_miss;t2_bias_low,medium,166,false,2026-07-13T14:08:08.204Z
末世大回炉,1556,2138,4.3,10,10,,,2.5,5,4,3,3,伏笔;身份;悬念,,,rule_miss;llm_bias_high,medium,690,false,2026-07-13T14:25:18.976Z
末世大回炉,1606,2111,2.2,8,9,,,6.5,8,7.5,7.5,8,威望;设局;震惊,,,rule_miss,medium,871,false,2026-07-13T14:39:49.604Z
末世大回炉,1625,2177,4.3,10,10,,,5.5,7.5,7,7.5,7.5,绝境;守护;悬念,,,llm_bias_high,medium,491,false,2026-07-13T14:48:01.966Z
末世大回炉,1704,2190,3.2,9,9,,,5,7.5,5.5,5.5,6,情感;悬念,,,rule_miss;llm_bias_high,medium,197,false,2026-07-13T14:51:18.183Z
异兽迷城,1,2418,3.5,6,8,,,7.5,9,9,9.5,9,悬念,开头这一章悬念非常吸引人 非常棒,,rule_miss,medium,121,false,2026-07-13T14:53:27.663Z
异兽迷城,316,2324,5.4,9,9,,,7.5,8.5,5,5,5,绝境;守护;伏笔;战斗;情感;悬念,,,rule_miss,medium,124,false,2026-07-13T15:02:24.033Z
异兽迷城,663,1990,2.4,9,9,,,6,7.5,7,6.5,5.5,战斗;搞笑;悬念,,,rule_miss;llm_bias_high,medium,122,false,2026-07-13T15:08:12.675Z
异兽迷城,900,1841,2.3,9,9,,,5,6.5,6,6.5,6.5,情感,日常生活温馨,,rule_miss;llm_bias_high,medium,86,false,2026-07-13T14:55:49.552Z
黑暗血时代,1537,3304,0,9,9,,,8,8,8,7.5,6.5,底牌;设局;智斗;战斗,,,rule_miss,medium,145,false,2026-07-13T15:10:38.243Z
第一序列,955,2248,2.5,10,10,,,8.5,9,9,8.5,9,碾压;守护;战斗;悬念,,,rule_miss,medium,140,false,2026-07-13T15:12:57.972Z
末日乐园,979,4342,2.3,9,9,,,5.5,7,7.5,7.5,7.5,绝境;悬念,,,rule_miss;llm_bias_high,medium,115,false,2026-07-13T15:14:55.053Z
长夜余火,96,3634,4.7,,,7,8,7.5,8.5,8.5,8,7.5,智斗;战斗;悬念,,,rule_miss,medium,143,false,2026-07-13T15:17:21.269Z
地球游戏场,1,4230,6.7,7,8,,,6.5,6,5,5,5,翻盘;绝境;金手指;获得;伏笔;悬念,,,llm_bias_high,medium,121,true,2026-07-13T14:57:53.696Z
