ch_num,source,stratum,disagreement,ai_intensity,ai_retention,t2_intensity,t2_retention
1,anchor,Opening,1.24,7,8,6.7,5.36
198,anchor,Rising,3.81,7,8,3.9,3.12
384,anchor,Mid,5.14,9,9,4.2,3.3600000000000003
581,anchor,Climax,7.7,10,10,2.5,2.0
769,anchor,Ending,5.23,9,9,4.1,3.28
749,disagreement,Ending,8.16,10,10,2.0,1.6
561,disagreement,Climax,6.84,10,9,3.0,2.4000000000000004
443,disagreement,Mid,6.79,9,9,2.4,1.92
296,disagreement,Mid,6.15,9,9,3.1,2.4800000000000004
670,disagreement,Climax,5.92,8,9,2.7,2.16
8,disagreement,Opening,5.88,8,8,2.3,1.8399999999999999
72,disagreement,Rising,5.7,8,8,2.5,2.0
680,disagreement,Climax,5.64,8,9,3.0,2.4000000000000004
571,supplement,Climax,0.8,10,10,10.0,8.0
710,supplement,Ending,0.8,10,10,10.0,8.0
