ch_num,source,stratum,disagreement,ai_intensity,ai_retention,t2_intensity,t2_retention
1,anchor,Opening,3.58,6,8,3.5,2.8000000000000003
316,anchor,Rising,4.03,9,9,5.4,4.32
643,anchor,Mid,3.78,5,7,2.2,1.7600000000000002
959,anchor,Climax,4.7,5,7,1.2,0.96
1276,anchor,Ending,5.41,9,9,3.9,3.12
900,disagreement,Climax,6.88,9,9,2.3,1.8399999999999999
663,disagreement,Mid,6.79,9,9,2.4,1.92
762,disagreement,Mid,6.79,9,9,2.4,1.92
465,disagreement,Mid,6.52,9,9,2.7,2.16
207,disagreement,Rising,6.33,9,9,2.9,2.32
1157,disagreement,Ending,6.33,9,9,2.9,2.32
1028,disagreement,Climax,6.24,9,9,3.0,2.4000000000000004
583,disagreement,Mid,6.15,9,9,3.1,2.4800000000000004
