ch_num,source,stratum,disagreement,ai_intensity,ai_retention,t2_intensity,t2_retention
1,anchor,Opening,4.78,6,8,2.2,1.7600000000000002
610,anchor,Rising,3.78,7,7,3.5,2.8000000000000003
1218,anchor,Mid,5.33,8,8,2.9,2.32
1817,anchor,Climax,1.16,6,7,5.7,4.5600000000000005
2419,anchor,Ending,6.14,10,10,4.2,3.3600000000000003
979,disagreement,Mid,6.88,9,9,2.3,1.8399999999999999
1866,disagreement,Climax,6.7,9,9,2.5,2.0
2016,disagreement,Climax,6.52,9,9,2.7,2.16
1009,disagreement,Mid,6.19,8,9,2.4,1.92
46,disagreement,Opening,6.16,8,8,2.0,1.6
2234,disagreement,Ending,6.07,8,8,2.1,1.6800000000000002
2046,disagreement,Climax,6.01,8,9,2.6,2.08
1228,disagreement,Mid,5.92,8,9,2.7,2.16
123,supplement,Rising,1.36,9,9,8.3,6.640000000000001
999,supplement,Mid,1.0,8,8,9.3,7.440000000000001
