ch_num,source,stratum,disagreement,ai_intensity,ai_retention,t2_intensity,t2_retention
1,anchor,Opening,2.89,7,8,4.9,3.9200000000000004
310,anchor,Rising,4.46,7,8,3.2,2.5600000000000005
627,anchor,Mid,3.56,5,6,2.0,1.6
946,anchor,Climax,3.74,8,7,4.2,3.3600000000000003
1251,anchor,Ending,6.19,8,9,2.4,1.92
955,disagreement,Climax,7.7,10,10,2.5,2.0
896,disagreement,Climax,6.87,10,10,3.4,2.72
747,disagreement,Mid,6.7,9,9,2.5,2.0
1095,disagreement,Climax,6.28,8,9,2.3,1.8399999999999999
607,disagreement,Mid,6.19,8,9,2.4,1.92
657,disagreement,Mid,6.14,10,10,4.2,3.3600000000000003
1085,disagreement,Climax,6.11,7,8,1.4,1.1199999999999999
1212,disagreement,Ending,5.82,8,9,2.8,2.2399999999999998
57,supplement,Rising,0.89,8,8,8.9,7.120000000000001
