ch_num,source,stratum,disagreement,ai_intensity,ai_retention,t2_intensity,t2_retention
1,anchor,Opening,2.15,5,5,3.1,2.4800000000000004
234,anchor,Rising,2.42,5,5,2.8,2.2399999999999998
87,disagreement,Rising,3.25,5,5,1.9,1.52
146,disagreement,Rising,3.16,5,5,2.0,1.6
97,disagreement,Rising,3.1,5,5,8.8,7.040000000000001
29,disagreement,Rising,3.07,5,5,2.1,1.6800000000000002
136,disagreement,Rising,2.98,5,5,2.2,1.7600000000000002
107,disagreement,Rising,2.88,5,5,2.3,1.8399999999999999
156,disagreement,Rising,2.88,5,5,2.3,1.8399999999999999
204,disagreement,Rising,2.88,5,5,2.3,1.8399999999999999
