ch_num,source,stratum,disagreement,ai_intensity,ai_retention,t2_intensity,t2_retention
1,anchor,Opening,1.94,5,7,4.2,3.3600000000000003
466,anchor,Rising,4.22,9,9,5.2,4.16
922,anchor,Mid,6.07,8,8,2.1,1.6800000000000002
1388,anchor,Climax,4.36,7,8,3.3,2.64
1841,anchor,Ending,4.85,5,6,0.6,0.48
1537,disagreement,Climax,9.0,9,9,0.0,0.0
256,disagreement,Rising,8.59,10,9,1.1,0.8800000000000001
665,disagreement,Mid,8.53,10,10,1.6,1.2800000000000002
286,disagreement,Rising,7.4,7,8,0.0,0.0
595,disagreement,Mid,7.4,7,8,0.0,0.0
1081,disagreement,Mid,7.34,9,9,1.8,1.4400000000000002
1200,disagreement,Climax,7.34,9,9,1.8,1.4400000000000002
1428,disagreement,Climax,6.79,9,9,2.4,1.92
216,supplement,Rising,0.24,2,2,2.3,1.8399999999999999
655,supplement,Mid,0.24,2,2,2.3,1.8399999999999999
