rank,book_name,quality_tier,borda_total,signing_rank,retention_rank,diversity_rank,bt_rank,webnovel8_rank,ai_intensity_avg,ai_retention_avg,chapters
1,全球变异，从灾厄降临开始,A,30.5,6,12,14,4,3,7.2,8.3,151
2,末世大回炉,S,46.8,9,24,6,6,6,7.53,8.27,197
3,末世之深渊召唤师,A,48.0,5,23,4,15,1,7.34,7.99,158
4,末日拼图游戏,A,53.0,1,4,25,8,18,7.69,8.31,65
5,黑暗血时代,S,53.7,3,32,8,5,10,5.59,6.1,187
6,地球游戏场,S,55.1,2,26,3,14,7,7.8,8.27,81
7,第一序列,S,55.9,19,18,17,2,11,6.73,7.44,128
8,狩魔手记_烟雨江南,A,60.2,25,3,12,18,4,6.76,7.83,58
9,神秘尽头,A,65.4,21,16,7,1,21,6.87,7.8,30
10,末世魔神游戏,A,66.3,20,8,1,21,8,7.29,7.71,200
11,从红月开始,A,67.7,14,1,23,3,28,6.88,7.86,91
12,我 的 末 世 领 地,A,69.0,15,6,18,17,13,6.79,7.23,90
13,黑暗文明_古羲,B+,70.5,12,17,2,26,5,6.72,6.96,94
14,异兽迷城,S,73.0,18,27,10,10,12,6.62,7.67,130
15,末世召唤狂潮,A,79.1,8,31,11,27,2,6.58,7.41,167
16,我在末世有套房,B+,83.1,7,7,26,32,9,6.24,6.75,164
17,世界末日从考试不及格开始,A,83.3,13,21,24,7,24,6.71,7.73,94
18,长夜余火,S,90.0,31,19,5,16,16,5.33,6.06,97
19,废土崛起,A,92.7,23,14,19,20,17,6.63,7.39,195
20,限制级末日症候,B-,93.4,11,13,28,19,23,6.57,7.37,230
21,黑暗王者,B,93.4,28,11,13,13,25,7.15,7.84,130
22,重卡战车在末世,B,95.7,32,10,9,25,14,5.07,5.09,94
23,末日乐园,S,99.8,17,20,33,11,27,6.38,7.42,245
24,灾厄纪元,B,101.1,33,2,29,9,32,6.76,7.87,137
25,我的女友是丧尸,B,103.0,4,15,32,30,20,6.68,7.3,137
26,全球进化,B+,104.5,10,29,22,24,19,6.3,7.21,47
27,末世超级商人,B-,110.6,29,5,21,28,22,5.5,6.25,8
28,末日蟑螂,B,112.8,16,25,20,33,15,6.45,7.41,244
29,恐慌沸腾,B+,118.0,22,22,27,22,26,8.05,8.31,151
30,蹉跎,C,122.8,24,9,31,23,33,7.16,7.84,37
31,黑暗末日,C,124.5,30,30,30,12,31,7.89,8.44,72
32,我在末世种个田,B-,136.6,26,28,16,29,29,6.48,6.61,175
33,第九特区,B,145.5,27,33,15,31,30,7.5,8.33,278
